Date,Open,High,Low,Close,Adj Close,Volume
2021-02-23,89.470001,90.660004,87.699997,90.510002,80.869064,2484100
2021-02-24,90.440002,91.809998,89.750000,91.709999,81.941246,1741900
2021-02-25,92.169998,92.849998,89.769997,90.129997,80.529541,2359900
2021-02-26,89.379997,89.620003,87.019997,87.400002,78.090340,3708100
2021-03-01,88.209999,89.980003,88.199997,89.800003,80.234695,2275800
2021-03-02,90.570000,91.889999,90.379997,91.339996,81.610649,2711900
2021-03-03,90.489998,91.400002,89.379997,90.860001,81.181786,2141400
2021-03-04,85.000000,85.349998,81.150002,81.900002,76.563660,4303300
2021-03-05,84.000000,84.400002,81.389999,83.639999,78.190285,3643500
2021-03-08,82.930000,84.559998,82.489998,83.400002,77.965919,2443700
2021-03-09,82.169998,82.519997,80.269997,81.919998,76.582352,4546300
2021-03-10,79.989998,80.370003,78.959999,80.209999,74.983772,2984000
2021-03-11,81.889999,82.500000,81.199997,82.500000,77.124565,2729600
2021-03-12,80.709999,81.500000,80.220001,81.269997,75.974701,1780100
2021-03-15,79.250000,79.800003,78.070000,79.580002,74.394821,3898400
2021-03-16,79.160004,79.410004,78.169998,78.800003,73.665649,2260000
2021-03-17,77.589996,78.930000,76.739998,78.720001,73.590858,3811000
2021-03-18,77.870003,78.870003,77.540001,77.559998,72.506432,3130700
2021-03-19,76.910004,77.209999,75.949997,76.550003,71.562248,2763100
2021-03-22,76.059998,76.320000,75.279999,76.080002,71.122871,2168800
2021-03-23,75.110001,75.779999,74.029999,74.300003,69.458855,2734700
2021-03-24,74.669998,75.790001,74.639999,74.750000,69.879524,2680500
2021-03-25,74.230003,75.370003,73.610001,75.059998,70.169327,2277800
2021-03-26,76.860001,78.110001,76.570000,78.050003,72.964516,2468800
2021-03-29,77.349998,77.570000,76.470001,76.959999,71.945534,2223900
2021-03-30,77.019997,77.879997,76.650002,77.879997,72.805588,1967000
2021-03-31,78.089996,78.489998,77.239998,77.650002,72.590576,2234100
2021-04-01,77.410004,78.000000,76.519997,77.980003,72.899071,1835400
2021-04-05,79.430000,80.449997,78.830002,79.870003,74.665924,2361700
2021-04-06,79.370003,79.930000,78.589996,78.779999,73.646942,2297800
2021-04-07,79.900002,80.959999,79.870003,80.019997,74.806145,2070400
2021-04-08,80.150002,80.559998,79.410004,80.199997,74.974419,1937200
2021-04-09,79.010002,79.400002,78.510002,79.400002,74.226547,2446600
2021-04-12,79.430000,79.500000,78.510002,78.949997,73.805870,1782100
2021-04-13,79.379997,79.650002,78.690002,79.500000,74.320030,2094000
2021-04-14,80.000000,82.239998,79.949997,81.720001,76.395386,2856400
2021-04-15,83.250000,84.099998,82.970001,83.779999,78.321159,2214300
2021-04-16,84.849998,85.160004,83.769997,84.790001,79.265358,2468000
2021-04-19,85.379997,86.820000,85.379997,86.300003,80.676971,3597000
2021-04-20,85.709999,86.010002,84.169998,84.720001,79.199913,3168200
2021-04-21,83.930000,86.239998,83.580002,86.000000,80.396515,3107400
2021-04-22,84.540001,84.709999,83.500000,84.010002,78.536179,3830100
2021-04-23,85.139999,86.699997,85.059998,86.440002,80.807846,2001700
2021-04-26,87.330002,88.290001,87.199997,88.250000,82.499908,2070000
2021-04-27,87.000000,87.730003,86.559998,86.919998,81.256569,2069200
